Hidden Sizes,Learning Rate,L2 Lambda,Momentum,Train Loss,Validation Loss,Test Loss
"[60, 60]",0.0006,1e-05,0.99,0.188554±0.008576,0.358497±0.055628,0.364731
"[60, 60]",0.0006,6e-05,0.99,0.194801±0.008569,0.364715±0.055667,0.370915
"[120, 120]",0.005,1e-05,0.9,0.182267±0.009385,0.369396±0.076840,0.377592
"[60, 60]",0.0006,0.0001,0.99,0.199793±0.008564,0.369684±0.055699,0.375855
"[60, 60]",0.005,1e-05,0.9,0.194341±0.008630,0.374659±0.064282,0.340471
"[80, 80]",0.005,1e-05,0.9,0.190083±0.012353,0.375956±0.080242,0.371212
"[120, 120]",0.005,6e-05,0.9,0.188943±0.009387,0.376024±0.076832,0.384205
"[60, 60]",0.005,6e-05,0.9,0.198285±0.008637,0.378571±0.064277,0.344346
"[60, 60]",0.001,1e-05,0.99,0.180058±0.012053,0.379819±0.056278,0.398323
"[80, 80]",0.005,6e-05,0.9,0.194936±0.012356,0.380775±0.080250,0.375988
"[120, 120]",0.005,0.0001,0.9,0.194278±0.009389,0.381321±0.076826,0.38949
"[60, 60]",0.005,0.0001,0.9,0.201438±0.008644,0.381698±0.064273,0.347443
"[100, 100]",0.005,1e-05,0.9,0.184572±0.009680,0.382825±0.079341,0.36883
"[80, 80]",0.0006,1e-05,0.99,0.182699±0.009857,0.382858±0.054212,0.409636
"[60, 60]",0.001,6e-05,0.99,0.186943±0.011774,0.383482±0.056682,0.387191
"[80, 80]",0.005,0.0001,0.9,0.198815±0.012359,0.384626±0.080256,0.379805
"[120, 120]",0.0006,1e-05,0.99,0.171959±0.010838,0.385460±0.072693,0.388774
"[100, 100]",0.005,6e-05,0.9,0.190295±0.009688,0.388498±0.079312,0.374432
"[80, 80]",0.0006,6e-05,0.99,0.189816±0.009862,0.389894±0.054261,0.416751
"[100, 100]",0.0006,1e-05,0.99,0.174303±0.008891,0.390466±0.079099,0.373824
"[80, 80]",0.001,1e-05,0.99,0.170215±0.008711,0.392145±0.062173,0.397858
"[60, 60]",0.001,0.0001,0.99,0.194428±0.010864,0.392595±0.058624,0.406229
"[100, 100]",0.005,0.0001,0.9,0.194869±0.009695,0.393032±0.079289,0.378909
"[120, 120]",0.0006,6e-05,0.99,0.180523±0.010808,0.393938±0.072709,0.397312
"[80, 80]",0.0006,0.0001,0.99,0.195502±0.009866,0.395517±0.054300,0.422435
"[100, 100]",0.0006,6e-05,0.99,0.182093±0.008868,0.398190±0.079105,0.381581
"[120, 120]",0.0006,0.0001,0.99,0.187365±0.010784,0.400711±0.072722,0.404133
"[80, 80]",0.001,6e-05,0.99,0.179563±0.008494,0.400921±0.062200,0.406977
"[100, 100]",0.0006,0.0001,0.99,0.188318±0.008850,0.404361±0.079111,0.387779
"[120, 120]",0.001,1e-05,0.99,0.156903±0.010631,0.404537±0.083922,0.400147
"[80, 80]",0.001,0.0001,0.99,0.186988±0.008375,0.408023±0.062226,0.414257
"[100, 100]",0.001,1e-05,0.99,0.163999±0.008618,0.411143±0.085142,0.395523
"[120, 120]",0.001,1e-05,0.9,0.277305±0.010427,0.412002±0.073633,0.392415
"[120, 120]",0.001,6e-05,0.99,0.167152±0.010584,0.414637±0.083969,0.410379
"[100, 100]",0.0001,1e-05,0.99,0.267863±0.012260,0.415081±0.090924,0.329385
"[120, 120]",0.001,6e-05,0.9,0.283734±0.010432,0.418427±0.073633,0.398843
"[100, 100]",0.001,6e-05,0.99,0.173581±0.008579,0.420566±0.085187,0.405049
"[100, 100]",0.0001,6e-05,0.99,0.273528±0.012257,0.420741±0.090930,0.335056
"[100, 100]",0.001,1e-05,0.9,0.277117±0.012270,0.422300±0.095538,0.342271
"[120, 120]",0.001,0.0001,0.99,0.175334±0.010547,0.422699±0.084006,0.418547
"[120, 120]",0.001,0.0001,0.9,0.288876±0.010435,0.423565±0.073633,0.403985
"[120, 120]",0.0001,1e-05,0.99,0.286603±0.011572,0.424986±0.085980,0.401899
"[100, 100]",0.0001,0.0001,0.99,0.278059±0.012254,0.425268±0.090936,0.339592
"[100, 100]",0.001,6e-05,0.9,0.282584±0.012273,0.427760±0.095538,0.347735
"[100, 100]",0.001,0.0001,0.99,0.181230±0.008548,0.428088±0.085223,0.412653
"[120, 120]",0.0001,6e-05,0.99,0.293230±0.011569,0.431607±0.085983,0.408532
"[100, 100]",0.001,0.0001,0.9,0.286956±0.012276,0.432127±0.095538,0.352106
"[120, 120]",0.0001,0.0001,0.99,0.298531±0.011566,0.436902±0.085985,0.413837
"[80, 80]",0.0001,1e-05,0.99,0.300264±0.013258,0.443305±0.095105,0.376944
"[120, 120]",0.005,1e-05,0.5,0.316503±0.010999,0.447611±0.085650,0.415683
"[80, 80]",0.0001,6e-05,0.99,0.305040±0.013259,0.448077±0.095110,0.381726
"[80, 80]",0.0001,0.0001,0.99,0.308860±0.013260,0.451893±0.095114,0.385551
"[120, 120]",0.005,6e-05,0.5,0.322902±0.011003,0.454008±0.085650,0.422087
"[100, 100]",0.005,1e-05,0.5,0.319053±0.013484,0.457273±0.103932,0.371179
"[120, 120]",0.005,0.0001,0.5,0.328021±0.011006,0.459124±0.085649,0.427208
"[100, 100]",0.005,6e-05,0.5,0.324494±0.013488,0.462710±0.103933,0.376621
"[100, 100]",0.005,0.0001,0.5,0.328846±0.013491,0.467059±0.103934,0.380974
"[80, 80]",0.001,1e-05,0.9,0.322280±0.013126,0.471647±0.082484,0.411393
"[80, 80]",0.001,6e-05,0.9,0.326809±0.013131,0.476172±0.082486,0.415928
"[80, 80]",0.001,0.0001,0.9,0.330431±0.013135,0.479791±0.082487,0.419555
"[60, 60]",0.0001,1e-05,0.99,0.350768±0.016711,0.482981±0.098987,0.449332
"[120, 120]",0.0006,1e-05,0.9,0.361364±0.012401,0.484376±0.092330,0.462531
"[60, 60]",0.0001,6e-05,0.99,0.354634±0.016712,0.486843±0.098991,0.453203
"[60, 60]",0.001,1e-05,0.9,0.354064±0.013301,0.489412±0.095593,0.407588
"[60, 60]",0.0001,0.0001,0.99,0.357725±0.016712,0.489932±0.098995,0.4563
"[120, 120]",0.0006,6e-05,0.9,0.367731±0.012404,0.490741±0.092330,0.468907
"[60, 60]",0.001,6e-05,0.9,0.357680±0.013307,0.493026±0.095594,0.411219
"[120, 120]",0.0006,0.0001,0.9,0.372823±0.012406,0.495832±0.092330,0.474006
"[60, 60]",0.001,0.0001,0.9,0.360572±0.013312,0.495917±0.095595,0.414122
"[100, 100]",0.0006,1e-05,0.9,0.365940±0.018165,0.497200±0.110426,0.417834
"[100, 100]",0.0006,6e-05,0.9,0.371342±0.018167,0.502600±0.110426,0.423242
"[100, 100]",0.0006,0.0001,0.9,0.375662±0.018169,0.506919±0.110426,0.427567
"[80, 80]",0.005,1e-05,0.5,0.369466±0.013865,0.515106±0.091190,0.433145
"[80, 80]",0.005,6e-05,0.5,0.373951±0.013868,0.519588±0.091191,0.437636
"[80, 80]",0.005,0.0001,0.5,0.377538±0.013871,0.523172±0.091191,0.441228
"[60, 60]",0.005,1e-05,0.5,0.413763±0.015027,0.546440±0.101933,0.457752
"[60, 60]",0.005,6e-05,0.5,0.417326±0.015032,0.550001±0.101935,0.461326
"[60, 60]",0.005,0.0001,0.5,0.420176±0.015036,0.552850±0.101935,0.464185
"[80, 80]",0.005,6e-05,0.99,0.152574±0.015789,0.565565±0.112657,0.65368
"[120, 120]",0.005,1e-05,0.99,0.102795±0.008467,0.571412±0.121475,0.479858
"[80, 80]",0.0006,1e-05,0.9,0.432920±0.016789,0.574809±0.093868,0.504873
"[80, 80]",0.0006,6e-05,0.9,0.437364±0.016791,0.579250±0.093869,0.509326
"[80, 80]",0.0006,0.0001,0.9,0.440918±0.016792,0.582803±0.093870,0.512888
"[80, 80]",0.005,0.0001,0.99,0.180307±0.017392,0.589973±0.125894,0.606079
"[80, 80]",0.005,1e-05,0.99,0.130820±0.015320,0.598227±0.145490,0.563945
"[60, 60]",0.0006,1e-05,0.9,0.480681±0.018588,0.608494±0.112556,0.52499
"[60, 60]",0.0006,6e-05,0.9,0.484204±0.018591,0.612017±0.112556,0.528526
"[60, 60]",0.005,0.0001,0.99,0.201286±0.013771,0.614820±0.170849,0.652521
"[60, 60]",0.0006,0.0001,0.9,0.487022±0.018594,0.614834±0.112556,0.531355
"[120, 120]",0.005,6e-05,0.99,0.131210±0.006573,0.620039±0.125609,0.512972
"[60, 60]",0.005,1e-05,0.99,0.134237±0.010448,0.629503±0.169467,0.646909
"[120, 120]",0.005,0.0001,0.99,0.154108±0.006975,0.639552±0.124102,0.537134
"[60, 60]",0.005,6e-05,0.99,0.169479±0.010562,0.663953±0.224330,0.850055
"[100, 100]",0.005,1e-05,0.99,0.105721±0.011357,0.847064±0.559353,0.459513
"[100, 100]",0.005,6e-05,0.99,0.135911±0.009942,0.883678±0.551662,0.499878
"[100, 100]",0.005,0.0001,0.99,0.163453±0.006508,0.922661±0.550117,0.523246
"[120, 120]",0.001,1e-05,0.5,0.966844±0.025830,1.099851±0.219276,1.17064
"[120, 120]",0.001,6e-05,0.5,0.973073±0.025831,1.106079±0.219277,1.176873
"[120, 120]",0.001,0.0001,0.5,0.978056±0.025832,1.111062±0.219277,1.181859
"[100, 100]",0.001,1e-05,0.5,1.051212±0.019143,1.201469±0.238008,1.084414
"[100, 100]",0.001,6e-05,0.5,1.056457±0.019144,1.206714±0.238008,1.089664
"[100, 100]",0.001,0.0001,0.5,1.060653±0.019144,1.210909±0.238008,1.093865
"[80, 80]",0.001,1e-05,0.5,1.179195±0.031387,1.354436±0.236388,1.103583
"[80, 80]",0.001,6e-05,0.5,1.183468±0.031386,1.358708±0.236389,1.107863
"[80, 80]",0.001,0.0001,0.5,1.186886±0.031385,1.362125±0.236389,1.111286
"[60, 60]",0.001,1e-05,0.5,1.280928±0.031792,1.423362±0.276703,1.159892
"[60, 60]",0.001,6e-05,0.5,1.284251±0.031794,1.426684±0.276704,1.163221
"[60, 60]",0.001,0.0001,0.5,1.286910±0.031796,1.429342±0.276704,1.165884
"[120, 120]",0.0001,1e-05,0.9,1.546401±0.044386,1.676323±0.339900,1.736832
"[120, 120]",0.0001,6e-05,0.9,1.552589±0.044388,1.682510±0.339900,1.74302
"[120, 120]",0.0001,0.0001,0.9,1.557539±0.044389,1.687459±0.339900,1.74797
"[120, 120]",0.0006,1e-05,0.5,1.621616±0.047229,1.749344±0.351836,1.805151
"[120, 120]",0.0006,6e-05,0.5,1.627800±0.047230,1.755527±0.351836,1.811335
"[120, 120]",0.0006,0.0001,0.5,1.632747±0.047231,1.760474±0.351837,1.816282
"[100, 100]",0.0001,1e-05,0.9,1.679213±0.032548,1.827475±0.362953,1.735987
"[100, 100]",0.0001,6e-05,0.9,1.684411±0.032550,1.832673±0.362953,1.741187
"[100, 100]",0.0001,0.0001,0.9,1.688570±0.032552,1.836831±0.362953,1.745346
"[100, 100]",0.0006,1e-05,0.5,1.749577±0.035471,1.895124±0.374854,1.809453
"[100, 100]",0.0006,6e-05,0.5,1.754772±0.035474,1.900318±0.374854,1.814649
"[100, 100]",0.0006,0.0001,0.5,1.758928±0.035476,1.904474±0.374854,1.818805
"[80, 80]",0.0001,1e-05,0.9,1.827477±0.041089,1.997617±0.387303,1.606389
"[80, 80]",0.0001,6e-05,0.9,1.831703±0.041090,2.001842±0.387303,1.610618
"[80, 80]",0.0001,0.0001,0.9,1.835084±0.041090,2.005222±0.387303,1.614001
"[80, 80]",0.0006,1e-05,0.5,1.904261±0.043305,2.070114±0.402554,1.67
"[80, 80]",0.0006,6e-05,0.5,1.908483±0.043306,2.074334±0.402554,1.674225
"[80, 80]",0.0006,0.0001,0.5,1.911860±0.043307,2.077711±0.402554,1.677604
"[60, 60]",0.0001,1e-05,0.9,2.020828±0.055990,2.152170±0.433178,1.691274
"[60, 60]",0.0001,6e-05,0.9,2.024095±0.055992,2.155435±0.433178,1.694544
"[60, 60]",0.0001,0.0001,0.9,2.026709±0.055993,2.158048±0.433178,1.69716
"[60, 60]",0.0006,1e-05,0.5,2.119806±0.058874,2.247305±0.451401,1.771915
"[60, 60]",0.0006,6e-05,0.5,2.123067±0.058875,2.250565±0.451401,1.775178
"[60, 60]",0.0006,0.0001,0.5,2.125676±0.058877,2.253173±0.451401,1.777789
"[120, 120]",0.0001,1e-05,0.5,5.003001±0.153154,5.039423±0.774793,4.34618
"[120, 120]",0.0001,6e-05,0.5,5.009121±0.153155,5.045542±0.774793,4.3523
"[120, 120]",0.0001,0.0001,0.5,5.014016±0.153155,5.050437±0.774794,4.357195
"[100, 100]",0.0001,1e-05,0.5,5.580347±0.197466,5.625365±0.835879,4.795001
"[100, 100]",0.0001,6e-05,0.5,5.585469±0.197466,5.630487±0.835879,4.800122
"[100, 100]",0.0001,0.0001,0.5,5.589566±0.197466,5.634584±0.835879,4.804219
"[80, 80]",0.0001,1e-05,0.5,8.005493±0.266040,8.091875±1.144458,6.766126
"[80, 80]",0.0001,6e-05,0.5,8.009623±0.266040,8.096005±1.144458,6.770257
"[80, 80]",0.0001,0.0001,0.5,8.012927±0.266039,8.099310±1.144458,6.773562
"[60, 60]",0.0001,1e-05,0.5,11.999799±0.375712,12.072852±1.162127,10.749482
"[60, 60]",0.0001,6e-05,0.5,12.002927±0.375711,12.075979±1.162127,10.752612
"[60, 60]",0.0001,0.0001,0.5,12.005428±0.375710,12.078481±1.162127,10.755115
